                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.5279,                 2.1556,                 1.1824,                0.52834,                0.29433,                 0.2584,                0.14359,                 1.3419,                 1.2791,                 1.1196,                 0.0802,                 0.0022,                 0.0022
                      1,                 1.3384,                 1.0669,                 1.1066,                0.74971,                0.42206,                0.47859,                0.30267,                 1.3118,                0.89421,                 1.0813,               0.059322,              0.0043218,              0.0043218
                      2,                 1.3796,                0.94741,                  1.091,                0.64627,                0.65493,                0.67551,                0.40127,                  1.243,                 1.0201,                 1.0699,               0.038261,              0.0062614,              0.0062614
                      3,                 1.3197,                0.94664,                 1.0762,                0.73087,                0.68436,                0.74212,                0.45615,                 1.3341,                0.72533,                 1.0803,               0.017019,              0.0080189,              0.0080189
                      4,                  1.358,                0.88508,                 1.0759,                 0.7525,                0.74887,                 0.7721,                0.45087,                 1.3421,                 1.1804,                 1.0818,               0.008416,               0.008416,               0.008416
                      5,                 1.3377,                0.84608,                  1.069,                0.80966,                0.68905,                0.77152,                0.47319,                 1.2966,                0.91811,                 1.0626,               0.008416,               0.008416,               0.008416
                      6,                   1.32,                0.70735,                 1.0589,                0.82504,                0.77485,                0.80657,                0.50744,                 1.2886,                0.86498,                  1.068,                0.00802,                0.00802,                0.00802
                      7,                 1.2923,                0.73217,                 1.0631,                0.81891,                0.83219,                0.84155,                0.52377,                 1.2772,                0.73925,                 1.0623,               0.007624,               0.007624,               0.007624
                      8,                 1.3066,                0.68048,                 1.0689,                0.81642,                0.80445,                0.85075,                0.51856,                 1.3204,                0.64249,                 1.0634,               0.007228,               0.007228,               0.007228
                      9,                 1.2695,                0.64182,                 1.0501,                0.86632,                0.79525,                0.87919,                0.55667,                 1.2435,                0.62818,                 1.0509,               0.006832,               0.006832,               0.006832
                     10,                 1.2689,                0.62926,                 1.0426,                0.85284,                0.82129,                0.86943,                0.55243,                  1.248,                0.57761,                  1.046,               0.006436,               0.006436,               0.006436
                     11,                 1.2451,                0.60753,                 1.0362,                0.89719,                0.77619,                0.84765,                0.55953,                 1.2501,                0.56807,                 1.0455,                0.00604,                0.00604,                0.00604
                     12,                 1.2316,                0.59464,                 1.0363,                0.88022,                0.82775,                0.89555,                0.56571,                 1.2083,                0.54774,                 1.0387,               0.005644,               0.005644,               0.005644
                     13,                  1.202,                0.58489,                 1.0329,                0.85106,                0.82905,                0.85827,                0.55925,                 1.2357,                0.58488,                 1.0409,               0.005248,               0.005248,               0.005248
                     14,                 1.1917,                0.58123,                 1.0254,                0.85154,                0.82102,                0.86554,                0.54516,                 1.2747,                0.56475,                 1.0392,               0.004852,               0.004852,               0.004852
                     15,                 1.1605,                0.53069,                 1.0289,                  0.828,                0.78908,                0.85938,                0.56345,                 1.1972,                0.53598,                 1.0304,               0.004456,               0.004456,               0.004456
                     16,                  1.128,                0.51194,                 1.0246,                0.79371,                0.77807,                0.86522,                0.54874,                 1.2258,                0.55394,                 1.0364,                0.00406,                0.00406,                0.00406
                     17,                 1.1219,                0.51032,                 1.0186,                0.84808,                0.80439,                0.86567,                0.55833,                 1.2057,                0.53915,                 1.0249,               0.003664,               0.003664,               0.003664
                     18,                 1.1081,                0.50175,                 1.0054,                0.84186,                0.82644,                0.86333,                0.55209,                 1.1896,                0.52996,                 1.0199,               0.003268,               0.003268,               0.003268
                     19,                 1.0858,                0.49332,                 1.0036,                0.84991,                0.81307,                0.87085,                0.56594,                 1.1657,                0.52215,                 1.0155,               0.002872,               0.002872,               0.002872
                     20,                 1.0622,                0.47796,                0.99375,                0.78746,                0.84838,                0.85476,                0.54951,                 1.1615,                0.52113,                 1.0153,               0.002476,               0.002476,               0.002476
                     21,                 1.0748,                0.47515,                0.98653,                0.83526,                0.83167,                0.85385,                0.54913,                 1.1656,                0.51979,                  1.017,                0.00208,                0.00208,                0.00208
                     22,                 1.0403,                 0.4632,                0.99044,                0.83066,                0.84692,                0.86406,                0.56214,                 1.1663,                0.50367,                 1.0063,               0.001684,               0.001684,               0.001684
                     23,                 1.0375,                0.45761,                0.97713,                0.84965,                0.85742,                0.87516,                0.56163,                 1.1639,                 0.4962,                 1.0076,               0.001288,               0.001288,               0.001288
                     24,                 1.0282,                0.45423,                0.96751,                0.83351,                0.85299,                0.86201,                 0.5666,                 1.1336,                0.49062,                 1.0008,               0.000892,               0.000892,               0.000892
